Smile;Label;
CN(C)C2=CC=C(C=C2)CC1=CC=C(N(C)C)C=C1;active;0
CNN;active;0
N1(C(=CN=C1C)[N+](=O)[O-])CCO;active;0
O=C(C1=CC=C(C=C1)N(C)C)C2=CC=C(C=C2)N(C)C;active;0
O=C(C(C)=C4N)C2=C(C4=O)[C@](COC(N)=O)([H])[C@@](N2C3)(OC)[C@@]1([H])N[C@@]31[H];active;0
NC1=C2C(=CC=C1)C(=CC=C2)N;active;0
NC1=CC2=C(C=CC=C2)C=C1;active;0
[O-][N+](C1=CN=C(NC(NCC)=O)S1)=O;active;0
O=[N+](C1=CC(=C(C=C1)OC)N)[O-];active;0
O=[N+](C1=CC=C(O1)/C=N/NC(=O)N)[O-];active;0
O=C(C)NCC1=NC(=NO1)C2=CC=C(O2)[N+]([O-])=O;active;0
CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+]([O-])=O;active;0
[O-][N+](C2=CC=C(O2)C1=CSC=N1)=O;active;0
[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O;active;0
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O;active;0
O=[N+](C1=CC(=C(C=C1)C)N)[O-];active;0
O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-];active;0
COC1=C(C=CC=C1)[N+](=O)[O-];active;0
O=[N+](C1=CC2=C(C=C1)NC=N2)[O-];active;0
ClC1=C(C=CC(=C1)Cl)OC2=CC=C(C=C2)[N+](=O)[O-];active;0
[O-][N+](=O)c1ccc2c3ccccc3Cc2c1;active;0
O=C1N(CC(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-];active;0
O=[N+](C1=CC=CC2=CC=CN=C12)[O-];active;0
O=NN1CCC(=O)NC1=O;active;0
O=NN(C)CCCCCCCCCCCC;active;0
C1=CC=CC(=C1)CCN(C)N=O;active;0
CN(C(=O)N)N=O;active;0
O=NN(CC=C1)CC1;active;0
O=NN(CCCC)CCCC;active;0
O=NN(CCO)CCO;active;0
CCN(CC)N=O;active;0
CN(N=O)C;active;0
N(C1C=CC(=CC=1)N=O)C2=CC=CC=C2;active;0
O=NN(CCC)CCC;active;0
O=NN(CCCCCC1)CCCCCC1;active;0
CN(CC)N=O;active;0
O=C(N(CC)N=O)OCC;active;0
O=NN1CCCCCCC1;active;0
O=NN1CCCCCC1;active;0
C1(NC(CN1N=O)=O)=O;active;0
O=NN1CCOCC1;active;0
O=NN(CCN1)CC1;active;0
O=NN1CCCCC1;active;0
O=NN1CCCC1;active;0
O=NN1CCSCC1;active;0
NC1=CC=C(C=C1)OC2=CC=C(C=C2)N;active;0
ClC1=C(C(=C(C(=C1OC)Cl)Cl)Cl)Cl;active;0
CC(=O)NC1=CC=C(C=C1)OCC;active;0
O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC;active;0
OC1=CC=C2C(=C1/N=N/C3=CC=CC=C3)C=CC=C2;active;0
O(C1=CC=CC=C1)CC2CO2;active;0
O(CC1(C)C)C1=O;active;0
C2(=O)C(C1=CC=CC=C1)(CC)C(=O)NCN2;active;0
O=S1(=O)CCCO1;active;0
O=C1CCO1;active;0
O=NN(C(=O)N)CCC;active;0
OC(COC(C)(C)C)C;active;0
CC1CO1;active;0
O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC(=C(C=C3)O)O;active;0
OC1=CC=C2C(=C1/N=N/C3=C(C=C(C=C3)C)[N+](=O)[O-])C=CC=C2;active;0
[H][C@]12C3=CCN1CC[C@H]2OC(/C(CC([C@@](CO)(O)C(OC3)=O)=C)=C\C)=O;active;0
O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC;active;0
[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O;active;0
C=CC1=CC=CC=C1;active;0
C1C(C2=CC=CC=C2)O1;active;0
S=C(N(CC)CC)SCC(=C)Cl;active;0
Cl\C=C\CCl;active;0
Cl\C=C\CCl;active;0
O=[N+](C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[O-];active;0
S=P(N1CC1)(N1CC1)N1CC1;active;0
C1(=CC=C(C=C1)SC2=CC=C(C=C2)N)N;active;0
O=C=NC1=CC(N=C=O)=CC=C1C;active;0
ClC2(Cl)C1(Cl)C(=C)C(CCl)(CCl)C2(Cl)C(Cl)C1Cl;active;0
BrC(Br)Br;active;0
O=C1N(C(=O)C2=C1C=CC=C2)SC(Cl)(Cl)Cl;active;0
ClCC(Cl)CCl;active;0
[O-][N+](C1=CC=C(C2=CSC(NC(C(F)(F)F)=O)=N2)O1)=O;active;0
O=[N+](C1=C(C(=CC(=C1)C(F)(F)F)[N+](=O)[O-])N(CCC)CCC)[O-];active;0
CC1=CC(=C(C=C1C)N)C;active;0
O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br;active;0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl;active;0
NC(=O)OCC;active;0
C=CBr;active;0
C=CCl;active;0
C=CF;active;0
C=C(Cl)Cl;active;0
OC1=C(C=C(C=C1)C)/N=N/C2=CC=C(C=C2)NC(=O)C;active;0
C1(CN(N=O)CC(O1)C)C;active;0
CCOC(=O)N(C)N=O;active;0
C=CC=O;active;0
C=CCCl;active;0
O=C1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3;active;0
N1=C(SSC2=NC3=C(C=CC=C3)S2)SC4=C1C=CC=C4;active;0
N1C2=C(C=CC=C2)N=N1;active;0
C1(=C(C=CC(=C1)N(CCO)CCO)NCCO)[N+]([O-])=O;active;0
O=C1C(=C(C(=O)C(=C1Cl)Cl)Cl)Cl;active;0
OC(C)CCl;active;0
ClCC(=O)C1=CC=C(NC(=O)C)C=C1;active;0
NC1=CC=C(C=C1)Cl;active;0
ClC1=CC=CC=C1C=C(C#N)C#N;active;0
ClC([N+](=O)[O-])(Cl)Cl;active;0
O=CC(\Cl)=C(\Cl)C(O)=O;active;0
O=[N+](C1=CC(=C(C(=C1)Cl)N)Cl)[O-];active;0
ClC6C4(Cl)C3C1C5C(C3C2OC12)C4(Cl)C(Cl)(Cl)C56Cl;active;0
S=P(SCC(=O)NC)(OC)OC;active;0
CC1CC(OC(O1)C)OC(=O)C;active;0
O=C1N(C2=CC=CC=C2)N(C(=C1N(C)C)C)C;active;0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-];active;0
S=P(SC1C(SP(=S)(OCC)OCC)OCCO1)(OCC)OCC;active;0
N(C1=CC=C(C=C1)NC2=CC=CC=C2)C3=CC=CC=C3;active;0
O=C1c2c(O)cc(C)cc2C(=O)c3cc(O)cc(O)c13;active;0
ClC(C(C1=CC=C(C=C1)CC)C2=CC=C(C=C2)CC)Cl;active;0
O=CCCCC=O;active;0
OC(CO)CCl;active;0
C1N2CN3CN(C2)CN1C3;active;0
OC1=CC=CC2=CC=CN=C12;active;0
O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC=C(C=C3)O;active;0
S=C1NC=NC2=C1N=CN2;active;0
S=P(OC1=CC=C(C=C1)[N+](=O)[O-])(OC)OC;active;0
CC1=CC2=CC=CN=C2C=C1;active;0
CC1=CC=CC2=CC=CN=C12;active;0
NC(=O)CC1=C2C(=CC=C1)C=CC=C2;active;0
C1=C2C(=CC=C1NC3=CC=C(C=C3)NC4=CC=C5C(=C4)C=CC=C5)C=CC=C2;active;0
NC(=S)NC1=C2C(=CC=C1)C=CC=C2;active;0
O=[N+](C1=CC(=C(C=C1)N)N)[O-];active;0
O=[N+](C1=CC=C(C=C1)N)[O-];active;0
O=[N+](C1=CC(=C(C=C1)C(=O)O)N)[O-];active;0
O=[N+](C1=C2C(=CC=C1)C=CC=C2)[O-];active;0
CC([N+](=O)[O-])C;active;0
OC(=O)CC[N+](=O)[O-];active;0
O=[N+](C1=CC2=CC=CN=C2C=C1)[O-];active;0
N1C(N(CC(C1=O)C)N=O)=O;active;0
NC1=CC(=CC=C1)N;active;0
NC1=CC=C(C=C1)N;active;0
O=P(OC(=C(C(=O)N(CC)CC)Cl)C)(OC)OC;active;0
CC=C;active;0
C1(=C(C=C(N)C=C1)[N+](=O)[O-])NCCO;active;0
ClC1=CC(=C(C=C1C2=C(C=C(C(=C2)Cl)N)Cl)Cl)N;active;0
S=C(N(C)C)SSC(=S)N(C)C;active;0
N1C(=NC2=C1C=CC=C2)C3=CSC=N3;active;0
CC(Cl)(Cl)Cl;active;0
C=C(F)F;active;0
OCCNC1=C(OCCO)C=C([N+]([O-])=O)C=C1;active;0
O=C(NC3=CC2=C(C=C3)C1=CC=C(NC(C)=O)C=C1C2)C;active;0
O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C;active;0
C12C3=C(C=CC=C3)CC1=CC=CC=2NC(C)=O;active;0
O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC;active;0
C=CCOCC1CO1;active;0
C=CCN=C=S;active;0
NC1=C(C=CC(=C1)NC(=O)C)OCC;active;0
O=[N+](C1=CC(=C(C=C1)O)N)[O-];active;0
O=[N+](C1=CC(=C(C=C1)N)O)[O-];active;0
OC1=C(C=C(C=C1)N)[N+](=O)[O-];active;0
O=C(OC[C@@H](C(=O)O)N)C=[N+]=[N-];active;0
ClCCOCCCl;active;0
C1(=C(C=CC(=C1)N(CCO)CCO)NC)[N+]([O-])=O;active;0
N=C(N(CCCC)N=O)N[N+](=O)[O-];active;0
O=C(OC1=C2C(=CC=C1)C=CC=C2)NC;active;0
ClC(C(O)O)(Cl)Cl;active;0
ClC1=C(C=C(C=C1C(=O)O)Cl)N;active;0
O=CCCl;active;0
CCCl;active;0
CC(C)N(C(=O)SCC(\Cl)=C\Cl)C(C)C;active;0
NC1=NC(=NC(=N1)C2=CC=C(O2)[N+]([O-])=O)N;active;0
C1=C2C=CC3=CC=CC=C3C2=CC4=CC=C5C(=C14)C=CC=C5;active;0
ClC/C=C/CCl;active;0
C1OC1C2CO2;active;0
C1=CC=C2C(=C1)NC(NC2=O)C3=CC=C(S3)[N+]([O-])=O;active;0
CN(C1=CC=C(C=C1)/N=N/C2=CC=CC=C2)C;active;0
C1(N(C(C)=NC=1)C)[N+](=O)[O-];active;0
Nc(c(ccc1)C)c1C;active;0
CC1=C2C=CC=CC2=C(C3=CC=C4C(=C13)C=CC=C4)C;active;0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-];active;0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-];active;0
O=C(OCC)CBr;active;0
O1C2C1CCC(C2)C1CO1;active;0
O=CC1CO1;active;0
O=[N+]([O-])C1=CC=C(O1)/C=N/N2C(N(CCO)CC2)=O;active;0
OCCNC2=C1C=CC=CC1=NC(C3=CC=C([N+]([O-])=O)S3)=N2;active;0
OCCNN;active;0
CC(C)CN(N=O)C(=N)N[N+]([O-])=O;active;0
NC1=CC=C(C=C1OC)/N=N/C2=CC=CC=C2;active;0
CN(C1=CC=C(C=C1)/N=N/C2=CC(=CC=C2)C)C;active;0
C1(NC(CN1/N=C/C2=CC=C(O2)[N+](=O)[O-])C)=O;active;0
CC1=C2C3=C(C=C4C(=C3CC2)C=CC5=CC=CC=C45)C=C1;active;0
N#CN(C)N=O;active;0
C1=CC=C2C(=C1)N=C(N=C2N3CCOCC3)C4=CC=C(S4)[N+]([O-])=O;active;0
O(S(=O)(=O)C)CCCCOS(=O)(C)=O;active;0
NC1=CC=CC2=C1C=CC=C2;active;0
C1=CC(=CC(=C1OCC)[N+]([O-])=O)NC(=O)C;active;0
O1C(=CC=C1[N+](=O)[O-])/C(=N/O)N;active;0
CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C;active;0
C1(=NC(=NC(=N1)NC(C)=O)C2=CC=C(O2)[N+](=O)[O-])NC(C)=O;active;0
NC1=C(C=C(C=C1)N)[N+](=O)[O-];active;0
OC(=O)C1=CC=C(C=C1)[N+](=O)[O-];active;0
ClCCN(C)CCCl;active;0
CC(C)OC1=CC=CC=C1OC(=O)N(C)N=O;active;0
C1(CCN(C1)N=O)O;active;0
O=C(C1=CCCN(N=O)C1)OC;active;0
C1=CC=CC(=N1)N(N=O)C;active;0
C13=C(C=CC=C3)NC2=CN=CC=C12;active;0
CCCCCN(N=O)C(=N)N[N+]([O-])=O;active;0
CN(C)/N=N/C1=CC=CC=C1;active;0
NNC1=CC=CC=C1;active;0
OC1=C(C=CC=C1)C2=CC=CC=C2;active;0
N=C(N(CCC)N=O)N[N+](=O)[O-];active;0
ON=C1C=CC(=NO)C=C1;active;0
O=C(O[C@@H]1CCN2[C@@]([H])1C3=CC2)\C(C[C@@H](C)[C@](O)(CO)C(OC3)=O)=C([H])/C;active;0
O=C(OC(COC(=O)CCCCCCC)COC(=O)CCCCCCC)CCCCCCC;active;0
OC(C(Cl)(Cl)Cl)P(=O)(OC)OC;active;0
OCCOCCOCCO;active;0
O=P(OC)(OC)OC;active;0
C1(CN(CC(N1N=O)C)N=O)C;active;0
O=NN1CCC1;active;0
CC=O;inactive;1
CC=NN(C)C=O;inactive;1
CC(=O)N;inactive;1
C1(=CC=C(C=C1)O)NC(C)=O;inactive;1
NC(=O)C=C;inactive;1
O=C(CC(C)C)OCC=C;inactive;1
C1(N=CNN=1)N;inactive;1
OC(=O)CCCCCCCCCCN;inactive;1
ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=CC=C1;inactive;1
ClC1=NC(=NC(=N1)NC(C)C)NCC;inactive;1
O=CC1=CC=CC=C1;inactive;1
C1=CC=CC=C1;inactive;1
C1=COC2=C1C=CC=C2;inactive;1
O=C1C=CC(=O)C=C1;inactive;1
CC(=O)OCC1=CC=CC=C1;inactive;1
C1=CC=C2C(=C1)N=C(N=C2N(CCO)CCO)C3=CC=C(S3)[N+]([O-])=O;inactive;1
CCCCOCCO;inactive;1
CC(C)(C)O;inactive;1
OC1=CC=C(C=C1C(C)(C)C)OC;inactive;1
OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C;inactive;1
OC1=C(C=CC(=C1)/C=C/C(=O)O)O;inactive;1
OC1=C(C=C(C=C1)CNC(=O)CCCC/C=C/C(C)C)OC;inactive;1
C12C(C(=O)N(C1=O)SC(C(Cl)Cl)(Cl)Cl)C\C=C/C2;inactive;1
C12C3=C(C=CC=C3)NC1=CC=CC=2;inactive;1
ClC(Cl)(Cl)Cl;inactive;1
N(C(=O)N)(N=O)CC(=O)O;inactive;1
OC1=C(C=CC=C1)O;inactive;1
ClC2(C(Cl)3Cl)C(Cl)=C(Cl)C3(Cl)C1CC(Cl)C(Cl)C12;inactive;1
ClC2(Cl)C1(Cl)C(\Cl)=C(\Cl)C2(Cl)C(C1C(O)=O)C(O)=O;inactive;1
ClC(CC(Cl)C(Cl)CCC(Cl)CC)C(Cl)C(Cl)CCl;inactive;1
CC(=C)CCl;inactive;1
NC1=CC(=CC=C1C)Cl;inactive;1
C(CCl)(F)(F)F;inactive;1
OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(=O)OCC;inactive;1
ClC(Cl)Cl;inactive;1
ClCOC;inactive;1
O=C(N(C)C)NC1=CC=C(C=C1)Cl;inactive;1
C=C(Cl)C=C;inactive;1
ClC1=C(C(=C(C(=C1C#N)Cl)Cl)Cl)C#N;inactive;1
NC1=C(C=CC=C1)C(=O)OC/C=C/C2=CC=CC=C2;inactive;1
O=C(CCC(=O)O)NN(C)C;inactive;1
O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N;inactive;1
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl;inactive;1
ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl;inactive;1
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl;inactive;1
BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br;inactive;1
ClC1=CC=C(C=C1)Cl;inactive;1
Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45;inactive;1
OC2=CC=C(C=C2)/C(CC)=C(CC)/C1=CC=C(O)C=C1;inactive;1
S=C(NCC)NCC;inactive;1
O=C1OC2=C(C=CC=C2)CC1;inactive;1
CCCC1=CC2=C(C=C1)OCO2;inactive;1
C1(=C(C(OCCCCCCC(C)C)=O)C=CC=C1)C(OCCCCCCC(C)C)=O;inactive;1
P(=O)(OC)(OC)N1CCOCC1;inactive;1
C1COCCO1;inactive;1
NC(CCSCC)C(=O)O;inactive;1
O=C(OCC)C=C;inactive;1
CCO;inactive;1
CCC1=CC=CC=C1;inactive;1
CCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CCCC;inactive;1
O=C(C1=C(C=CC=C1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC;inactive;1
O=C1C(=CNC(=O)N1)F;inactive;1
C1=COC=C1;inactive;1
C1=C(CO)OC=C1;inactive;1
O=C2C1=C(OC)C=C(OC)C(Cl)=C1O[C@]32C(OC)=CC(C[C@@](C)3[H])=O;inactive;1
ClC1/C=C\C2C1C3(Cl)C(/Cl)=C(/Cl)C2(Cl)C3(Cl)Cl;inactive;1
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl;inactive;1
Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl;inactive;1
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl;inactive;1
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl;inactive;1
ClC(C(Cl)(Cl)Cl)(Cl)Cl;inactive;1
OC1=CC=C(C=C1)O;inactive;1
OC(C=C)C1=CC=C2OCOC2=C1;inactive;1
CC1(CC(=CC(=O)C1)C)C;inactive;1
CC(=C)C=C;inactive;1
ClC54C(=O)C1(Cl)C2(Cl)C5(Cl)C3(Cl)C4(Cl)C1(Cl)C2(Cl)C3(Cl)Cl;inactive;1
SC1=NC2=C(C=CC=C2)S1;inactive;1
N/1C(N(\C=C\1)C)=S;inactive;1
COC1=CC=C(C=C1)O;inactive;1
CC(OC)(C)C;inactive;1
NC(=O)OC;inactive;1
O=C1N(CCC1)C;inactive;1
OC1=C(C=CC(=C1)C)O;inactive;1
O(C)c1cc(CC=C)ccc1OC;inactive;1
CC1=NC=CN1;inactive;1
O=C(NCO)C=C;inactive;1
ClC53C1(Cl)C4(Cl)C2(Cl)C1(Cl)C(Cl)(Cl)C5(Cl)C2(Cl)C3(Cl)C4(Cl)Cl;inactive;1
CC(C(O)=O)(OC1=CC=C(C=C1)C2CCCC3=C2C=CC=C3)C;inactive;1
O=C1C2=C(N=C(C=C2)C)N(C=C1C(=O)O)CC;inactive;1
C1=C2C(=CC=C1)C=CC=C2;inactive;1
OC(=O)CN(CC(=O)O)CC(=O)O;inactive;1
O=[N+](C1=CC=CC=C1)[O-];inactive;1
[O-][N+](C)=O;inactive;1
O=NN(C1=CC=CC=C1)C2=CC=CC=C2;inactive;1
[N+](=O)([O-])c1ccccc1C;inactive;1
O=C(O[C@H](C)C2)C1=C2C(Cl)=CC(C(N[C@@H](CC3=CC=CC=C3)[C@@](O)=O)=O)=C1O;inactive;1
ClC1=CC=C2C(=C1)C(=NC(O)C(=O)N2)C3=CC=CC=C3;inactive;1
ClC(C(Cl)Cl)(Cl)Cl;inactive;1
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl;inactive;1
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl;inactive;1
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl;inactive;1
CN1N(C2=CC=CC=C2)C(=O)C=C1C;inactive;1
O=C1OC(C2=C1C=CC=C2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O;inactive;1
O=C1N(C2=CC=CC=C2)N(C3=CC=CC=C3)C(=O)C1CCCC;inactive;1
CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2;inactive;1
O=C1C=C(NC(=S)N1)CCC;inactive;1
N1=CC=CC=C1;inactive;1
C=CCC1=CC=C2C(=C1)OCO2;inactive;1
C3=CC=CC(NS(=O)(=O)C2=CC=C(N=NC1=CC=C(O)C(C(O)=O)=C1)C=C2)=N3;inactive;1
O=S(=O)(C1=CC=C(C=C1)N)NC2=NC(=CC(=N2)C)C;inactive;1
ClC1=CC2=C(C=C1Cl)OC3=C(C=C(C(=C3)Cl)Cl)O2;inactive;1
ClC(CCl)(Cl)Cl;inactive;1
ClC(C(Cl)Cl)Cl;inactive;1
ClC(=C(Cl)Cl)Cl;inactive;1
C1CCCO1;inactive;1
CC(=S)N;inactive;1
CC1=CC=CC=C1;inactive;1
NC1=C2C(=NC(=N1)N)N=C(C(=N2)C3=CC=CC=C3)N;inactive;1
CCCCOP(=O)(OCCCC)OCCCC;inactive;1
ClC(C(=O)O)(Cl)Cl;inactive;1
NC1=C(C=C(C=C1Cl)Cl)Cl;inactive;1
ClC(CCl)Cl;inactive;1
ClC(=CCl)Cl;inactive;1
ClC(=CCl)Cl;inactive;1
OC1=C(C=C(C=C1Cl)Cl)Cl;inactive;1
OCCN(CCO)CCO;inactive;1
O=P(OCCCl)(OCCCl)OCCCl;inactive;1
O=C1NC(=O)NC=C1;inactive;1
CC(=O)OC=C;inactive;1
O=C1N(C=C)CCC1;inactive;1
CC1=CC=CC(C)=C1;inactive;1
OC1=CC(=CC2=C1C(=O)O[C@H](CCCC(=O)CCC/C=C\2)C)O;inactive;1
