"","y","XLogP","MLogP","ALogP","TopoPSA","AMR","BCUTw.1h","BCUTc.1h","BCUTp.1h","khs.dO","khs.ssCH2","BCUTc.1l","BCUTp.1l","khs.ssO","khs.aaCH","khs.sOH","khs.sNH2","ALogp2","BCUTw.1l","khs.sLi","khs.ssBe"
"1070",0.78,3.306,3.11,-3.4355,94.83,83.975,16.0064522479956,0.332264387643565,10.4902746147312,2,11,-0.392074683376076,3.70927664733664,0,0,3,0,11.80266025,11.9884159978325,0,0
"169",1.22,2.924,2.34,-1.7024,40.54,54.2254,15.9959211768053,0.210486166885426,10.0070777677259,1,4,-0.355906340692192,4.85744958048508,0,2,1,0,2.89816576000001,11.89,0,0
"637",2.88,3.268,3.11,0.8527,199.92,170.4052,31.9740770345201,0.245188407934195,11.8101535659587,4,9,-0.380425105759882,5.51079748572658,1,11,2,0,0.727097289999999,11.85,0,0
"358",2.71,5.984,2.89,3.0154,70.17,139.984,19.0034348868075,0.417848582677028,11.2020493423468,0,10,-0.374183108926202,3.64424358177185,1,8,0,0,9.09263716000001,11.85,0,0
"83",0.2,1.584,3.11,-4.4632,131.98,106.6716,15.9979491700166,0.272731856371677,10.8677533531678,2,17,-0.377812712478412,3.90539834206853,1,0,1,1,19.92015424,11.9778063402682,0,0
"232",1.7,3.716,2.78,-0.8844,91.4,109.761,34.9688539014931,0.257465218895674,10.955156884369,3,0,-0.287580866394961,5.41256278571474,0,7,0,0,0.782163359999999,11.89,0,0
"754",4.32,3.749,2.67,1.3126,132.94,114.4655,16.0009623158897,0.268570815166849,9.11651645690465,3,2,-0.345966614678615,3.47845509059776,2,10,0,0,1.72291876,11.85,0,0
"302",2.3,2.008,2.34,0.7317,76.99,72.51,15.9979327916392,0.302540152151224,9.09342646318815,2,4,-0.315997244963902,4.20225975237532,1,4,0,0,0.53538489,11.85,0,0
"131",0.85,1.421,3.11,0.1597,65.07,101.5521,15.9989436114564,0.302318554047495,13.3651791972149,2,3,-0.33542281734676,4.106141243141,3,2,0,0,0.0255040899999999,11.89,0,0
"79",0.16,4.872,3.22,0.505600000000001,72.88,121.1035,18.9984081334811,0.295599797770683,11.7395252211066,2,2,-0.32772269428956,4.57381276520851,0,7,1,0,0.255631360000001,11.89,0,0
"994",0.41,1.846,2.34,-0.0117999999999984,67.59,84.3901,34.9688535391727,0.233720447372631,10.0393394947602,1,4,-0.347926330826809,5.11746231304161,1,2,0,1,0.000139239999999961,11.9933558820178,0,0
"674",2.52,5.994,4.1,-0.428399999999995,64.6,170.1456,14.010204002267,0.186453443153468,10.1963958084841,0,10,-0.301312346203893,7.08814854216575,0,14,0,0,0.183526559999996,11.85,0,0
"51",-0.2,1.804,3.22,-0.9263,95.86,103.7557,16.0000091283434,0.26220824782927,12.0486343864984,2,10,-0.410970494534612,4.49555860039803,1,4,2,0,0.858031690000001,11.9961414401635,0,0
"648",2.35,2.678,3.11,0.1491,158.26,144.7246,31.9730744704479,0.206818396487045,11.8101784015823,2,9,-0.380356060687485,5.51080268403117,1,8,2,0,0.02223081,11.85,0,0
"966",-0.29,2.599,2.34,0.5823,59.3,72.3777,34.9688534533233,0.346140962797189,9.50829384751656,2,1,-0.336820959084495,3.87688206346607,0,7,1,0,0.33907329,11.9885131801882,0,0
"744",3.76,4.406,2.12,3.0136,121.56,95.6791,34.9688542080397,0.251547051640602,10.9893359675841,1,0,-0.273965412535273,5.56731695339151,0,6,0,0,9.08178495999999,11.85,0,0
"53",-0.19,-0.475,1.13,-1.8562,135.12,63.4722,34.9688540111054,0.265144562374219,12.801822845356,4,1,-0.27338388986434,7.268328125,0,2,0,1,3.44547844,11.999,0,0
"102",0.49,4.26,3.11,0.629300000000001,100.55,126.2926,15.9949240155053,0.254018206196312,10.8610353378399,1,3,-0.280021795889584,5.19857131122409,0,8,0,0,0.396018490000001,11.9882566709547,0,0
"346",2.6,3.483,2.89,-4.385,120.84,121.7747,15.9969427084975,0.217158229448807,10.7533196548689,1,5,-0.343295965120408,4.65444687767007,1,4,1,0,19.228225,11.89,0,0
"295",2.3,2.719,2.12,-3.2211,142.8,85.381,31.9726781299919,0.266348908676919,10.2255987516778,3,10,-0.308835341327386,4.04102392868079,0,0,1,0,10.37548521,11.9984406875518,0,0
"718",1.7,5.214,3,1.6663,47.91,90.0275,14.0050998145432,0.153880186922922,9.16708080687499,0,2,-0.278420267278806,5.52418718403014,0,8,0,0,2.77655569,11.89,0,0
"724",2.83,2.752,1.9,1.5888,142.02,104.7239,34.9688544053118,0.251647233573315,11.5288717743361,3,0,-0.274581421469531,5.22515606392711,0,6,0,0,2.52428543999999,11.85,0,0
"390",2.97,4.466,3.33,0.692999999999999,35.75,110.7562,15.9959272522762,0.185157357180478,10.3555792107254,0,2,-0.346990763637031,4.8869962493542,2,10,0,0,0.480248999999998,11.85,0,0
"1042",2.49,2.659,2.78,2.1631,3.24,64.9688,14.009103268736,0.0603972929748961,9.45966763650397,0,2,-0.330038843701061,4.60993845996255,0,5,0,0,4.67900160999999,11.9933707908868,0,0
"799",4.43,5.026,3,-0.3311,44.62,76.865,15.9949199253131,0.141660440460855,10.8545429314276,0,5,-0.267806708041987,4.65448665137275,0,7,1,0,0.10962721,11.85,0,0
"962",-0.23,3.243,2.89,0.758,59.3,85.8585,15.9969290072398,0.273921053301604,9.9193846564364,2,1,-0.330597398702835,3.90132039440114,0,10,1,0,0.574564000000001,11.85,0,0
"680",4.12,6.351,3.88,-0.385699999999998,61.36,154.0955,14.0112958301676,0.127269631150113,10.1933623418511,0,6,-0.342550188398515,6.27434708747751,0,14,0,0,0.148764489999998,11.9932381814709,0,0
"283",2.17,4.081,2.89,3.5396,62.24,131.8114,19.0034352159963,0.417847592578538,11.1863427668475,1,9,-0.374340787547437,3.54905885010575,2,8,1,0,12.52876816,11.85,0,0
"625",3.29,3.688,2.78,2.5085,171.29,132.022,31.9730741690606,0.206782617038288,11.7980943318254,1,9,-0.380402235413978,3.66687911339531,1,6,2,0,6.29257225000001,11.85,0,0
"1052",4.2,3.791,3.77,0.207799999999997,118.21,163.3231,78.9183377351241,0.25644056088443,12.406399453705,3,6,-0.351502453765064,5.73979049858595,1,3,1,0,0.0431808399999986,11.9932260181977,0,0
"768",3.3,3.068,3.11,0.5505,41.3,94.437,15.9949209338836,0.179875299936789,9.29939416593118,0,6,-0.310978917203208,5.94304388885524,0,4,0,0,0.30305025,11.89,0,0
"720",3.31,6.976,3.66,1.4228,47.91,113.3798,14.0051090394328,0.154288024398888,10.744900454216,0,3,-0.278438945025337,5.64495378780587,0,9,0,0,2.02435984,11.85,0,0
"486",4.44,5.015,3,0.765199999999998,16.77,81.8245,14.0040902042977,0.0845033984348719,10.2490689844458,0,2,-0.244795319237864,5.24385510570388,0,7,0,0,0.585531039999998,11.89,0,0
"35",-0.41,1.476,2.34,-0.386799999999999,19.03,52.4253,14.0040841404813,0.111252851075026,9.67551815660287,0,1,-0.298132629430481,6.40867144687375,0,2,0,0,0.149614239999999,11.89,0,0
"286",2.2,5.28,3.77,0.658999999999996,108.59,171.7229,31.9730753718592,0.20761994120382,11.882903311522,5,8,-0.302889181755099,4.36759051704407,0,11,0,0,0.434280999999995,11.85,0,0
"633",3.52,4.489,3.33,1.8685,182.7,169.5571,31.97407665759,0.245166565538644,11.7981212463585,2,9,-0.380420989178576,5.50929443637489,1,11,2,0,3.49129225,11.85,0,0
"266",2.03,0.241,2.23,-0.190100000000001,160.88,124.3953,34.9688549200745,0.248063007751437,14.0914192600535,4,6,-0.378099424017707,5.52144097213908,1,4,0,0,0.0361380100000004,11.85,0,0
"834",5.99,7.13,3.66,1.3446,38.06,109.1816,15.9949214396868,0.179630026150997,10.0064642089551,0,7,-0.308170664650319,5.22880069285441,0,5,0,0,1.80794915999999,11.89,0,0
"411",3.2,3.234,2.78,2.1867,50.69,82.9545,15.9959247218427,0.302515260808106,9.11955719740547,1,2,-0.259620239476379,4.73079318661335,0,9,0,0,4.78165689,11.85,0,0
